Texture,Perimeter,Area,Compactness,Concavity,Concave points,Symmetry,Fractal dimension
18.3,86.6,555.1,0.08165,0.03974,0.0278,0.1638,0.0571
19.83,100.3,705.6,0.1553,0.17,0.08815,0.1855,0.06284
23.03,132.4,1264.0,0.1313,0.1465,0.08683,0.2095,0.05649
17.84,77.79,451.1,0.07057,0.0249,0.02941,0.19,0.06635
19.94,62.11,294.5,0.05301,0.006829,0.007937,0.135,0.0689
12.84,74.34,412.6,0.07525,0.04196,0.0335,0.162,0.06582
19.77,94.48,642.5,0.1141,0.09388,0.05839,0.1879,0.0639
24.98,88.05,582.7,0.08511,0.08625,0.04489,0.1609,0.05871
13.43,43.79,143.5,0.07568,0.0,0.0,0.193,0.07818
20.52,77.22,458.7,0.04038,0.02383,0.0177,0.1739,0.05677
19.4,63.95,298.3,0.09697,0.06154,0.03029,0.1945,0.06322
19.29,67.41,336.1,0.08578,0.02995,0.01201,0.2217,0.06481
15.56,87.21,530.2,0.1765,0.2071,0.09601,0.1925,0.07692
18.33,75.17,412.5,0.1017,0.0707,0.03485,0.1801,0.0652
18.54,79.01,466.7,0.06815,0.02643,0.01921,0.1602,0.06066
19.67,152.8,1509.0,0.2768,0.4264,0.1823,0.2556,0.07039
21.26,72.48,396.5,0.06575,0.05133,0.01899,0.1487,0.06529
16.99,62.5,290.2,0.08404,0.04334,0.01778,0.1584,0.07065
20.76,82.15,480.4,0.1209,0.1065,0.06021,0.1735,0.0707
19.65,97.83,629.9,0.2233,0.3003,0.07798,0.1704,0.07769
20.19,68.64,334.2,0.1303,0.06476,0.03068,0.1922,0.07782
15.83,55.84,230.9,0.08201,0.04132,0.01924,0.1649,0.07633
21.53,76.53,438.6,0.07849,0.03328,0.02008,0.1688,0.06194
15.76,58.74,245.2,0.1243,0.09263,0.02308,0.1305,0.07163
16.67,98.64,682.5,0.1649,0.169,0.08923,0.2157,0.06768
22.91,105.7,782.6,0.1752,0.2133,0.09479,0.2096,0.07331
20.01,114.2,982.0,0.06722,0.07293,0.05596,0.2129,0.05025
10.82,73.34,403.3,0.06685,0.03512,0.02623,0.1667,0.06113
17.12,121.4,1077.0,0.11,0.1457,0.08665,0.1966,0.06213
20.2,166.2,1761.0,0.2867,0.4268,0.2012,0.2655,0.06877
10.89,94.28,640.7,0.1099,0.08842,0.05778,0.1856,0.06402
16.39,86.1,553.5,0.07325,0.08092,0.028,0.1422,0.05823
17.21,88.44,588.7,0.06136,0.0142,0.01141,0.1614,0.0589
24.69,87.76,572.6,0.07862,0.05285,0.03085,0.1761,0.0613
18.91,123.4,1138.0,0.08028,0.09271,0.05627,0.1946,0.05044
16.39,99.58,674.5,0.1807,0.1138,0.08534,0.2001,0.06467
25.12,130.4,1192.0,0.1589,0.2545,0.1149,0.2202,0.06113
13.29,79.08,455.8,0.09509,0.02855,0.02882,0.188,0.06471
19.48,101.7,748.9,0.1223,0.1466,0.08087,0.1931,0.05796
21.54,106.2,809.8,0.1284,0.1043,0.05613,0.216,0.05891
13.93,102.0,761.7,0.09462,0.07135,0.05933,0.1816,0.05723
21.91,120.2,1075.0,0.09709,0.1153,0.06847,0.1692,0.05727
22.47,81.72,506.3,0.05761,0.04711,0.02704,0.1585,0.06065
16.67,74.72,423.6,0.06095,0.03592,0.026,0.1339,0.05945
15.39,73.06,399.8,0.06889,0.03503,0.02875,0.1734,0.05865
17.57,96.85,678.1,0.1305,0.1539,0.08624,0.1957,0.06216
13.39,73.0,384.8,0.1136,0.04635,0.04796,0.1771,0.06072
11.97,61.24,288.5,0.04102,0.0,0.0,0.1903,0.06422
18.05,105.1,813.0,0.1137,0.09447,0.05943,0.1861,0.06248
17.31,73.66,398.0,0.09486,0.02031,0.01861,0.1645,0.06562
15.92,83.74,512.2,0.09509,0.04894,0.03088,0.1778,0.06235
14.97,68.26,355.3,0.05139,0.02251,0.007875,0.1399,0.05688
14.65,78.11,432.8,0.1296,0.0371,0.03003,0.1995,0.07839
16.58,78.99,432.0,0.17,0.1659,0.07415,0.2678,0.07371
18.77,97.84,689.5,0.1167,0.0905,0.03562,0.1744,0.06493
15.18,93.97,640.1,0.1021,0.08487,0.05532,0.1724,0.06081
17.91,88.12,585.0,0.06376,0.02881,0.01329,0.1473,0.0558
20.78,83.51,519.4,0.07589,0.03136,0.02645,0.254,0.06087
20.7,53.27,203.9,0.1305,0.1321,0.02168,0.2222,0.08261
15.34,63.78,300.2,0.1599,0.4108,0.07857,0.2548,0.09296
13.08,70.87,381.9,0.05113,0.01982,0.01786,0.183,0.06105
15.34,85.31,538.9,0.08498,0.09293,0.03483,0.1822,0.06207
17.94,78.27,460.3,0.06679,0.03885,0.02331,0.197,0.06228
20.74,117.4,963.7,0.1665,0.1855,0.1054,0.1971,0.06166
19.46,108.4,880.2,0.07223,0.0515,0.02771,0.1844,0.05268
12.74,76.84,448.6,0.05241,0.01972,0.01963,0.159,0.05907
12.96,68.69,366.8,0.03718,0.00309,0.006588,0.1442,0.05743
20.18,76.1,419.8,0.1141,0.06843,0.03738,0.1993,0.06453
15.94,126.3,1157.0,0.1185,0.1193,0.09667,0.1741,0.05176
18.15,130.7,1214.0,0.1666,0.2508,0.1286,0.2027,0.06082
22.22,79.85,464.5,0.1015,0.0537,0.02822,0.1551,0.06761
22.04,152.1,1686.0,0.1145,0.1324,0.09702,0.1801,0.05553
19.76,95.5,690.2,0.05352,0.01947,0.01939,0.1515,0.05266
9.71,68.77,357.6,0.05736,0.02531,0.01698,0.1381,0.064
18.8,109.3,886.3,0.09182,0.08422,0.06576,0.1893,0.05534
24.68,116.1,984.6,0.1603,0.2159,0.1043,0.1538,0.06365
16.95,96.22,685.9,0.07885,0.02602,0.03781,0.178,0.0565
12.39,78.85,464.1,0.06981,0.03987,0.037,0.1959,0.05955
19.63,85.84,565.4,0.06288,0.05858,0.03438,0.1598,0.05671
11.89,102.5,736.9,0.1555,0.2032,0.1097,0.1966,0.07069
14.71,70.21,372.7,0.05743,0.02363,0.02583,0.1566,0.06669
15.15,67.49,349.6,0.04302,0.0,0.0,0.1928,0.05975
14.45,54.42,227.2,0.04276,0.0,0.0,0.1722,0.06724
18.06,64.6,302.4,0.1294,0.1307,0.03716,0.1669,0.08116
20.11,109.3,832.9,0.1556,0.1793,0.08866,0.1794,0.06323
22.22,82.01,526.4,0.01938,0.001595,0.001852,0.1395,0.05234
13.06,81.29,508.8,0.03774,0.009193,0.0133,0.1466,0.06133
21.87,182.1,2250.0,0.1914,0.2871,0.1878,0.18,0.0577
26.57,142.7,1311.0,0.2832,0.2487,0.1496,0.2395,0.07398
20.31,101.2,766.6,0.08799,0.06593,0.05189,0.1618,0.05549
14.92,73.53,402.0,0.08155,0.06181,0.02361,0.1167,0.06217
22.41,98.92,710.6,0.1052,0.05375,0.03263,0.1727,0.06317
15.11,63.76,317.5,0.04695,0.001597,0.002404,0.1703,0.06048
18.58,118.6,1041.0,0.08468,0.08169,0.05814,0.1621,0.05425
17.19,74.68,420.3,0.06141,0.03809,0.03239,0.1516,0.06095
17.39,75.27,428.9,0.05562,0.02353,0.01553,0.1718,0.0578
15.9,78.83,463.7,0.07253,0.03844,0.01654,0.1667,0.05474
23.12,94.37,609.9,0.2413,0.1981,0.06618,0.2384,0.07542
21.41,82.02,507.4,0.06601,0.03112,0.02864,0.1694,0.06287
18.22,60.73,288.1,0.02344,0.0,0.0,0.1653,0.06447
26.86,81.15,477.4,0.1353,0.1085,0.04562,0.1943,0.06937
23.21,100.4,671.4,0.198,0.1697,0.08878,0.1737,0.06672
16.33,82.53,516.4,0.05366,0.03873,0.02377,0.1829,0.05667
22.29,90.63,588.9,0.1267,0.1385,0.06526,0.1834,0.06877
21.84,117.4,1024.0,0.08642,0.1103,0.05778,0.177,0.0534
22.49,127.5,1148.0,0.1428,0.1114,0.06772,0.1767,0.05529
20.22,94.49,642.7,0.1206,0.118,0.0598,0.195,0.06466
19.56,78.54,461.0,0.08087,0.04187,0.04107,0.1979,0.06013
19.32,115.1,951.6,0.1198,0.1036,0.07488,0.1506,0.05491
26.67,158.9,1685.0,0.2084,0.3523,0.162,0.22,0.06229
23.75,91.56,597.8,0.1768,0.1558,0.09176,0.2251,0.07421
18.6,81.09,481.9,0.1058,0.08005,0.03821,0.1925,0.06373
16.68,98.78,716.6,0.09588,0.0755,0.04079,0.1594,0.05986
17.27,62.92,295.4,0.07232,0.01756,0.01952,0.1934,0.06285
20.26,109.7,904.3,0.07304,0.0695,0.0539,0.2026,0.05223
22.54,87.02,529.4,0.1483,0.08705,0.05102,0.185,0.0731
12.91,98.17,725.5,0.0623,0.05892,0.03157,0.1359,0.05526
22.14,134.7,1290.0,0.1348,0.164,0.09561,0.1765,0.05024
18.94,75.51,428.0,0.069,0.02669,0.01393,0.1533,0.06057
18.47,188.5,2499.0,0.1516,0.3201,0.1595,0.1648,0.05525
25.56,114.5,948.0,0.1146,0.1682,0.06597,0.1308,0.05866
23.81,92.87,610.7,0.1306,0.1115,0.06462,0.2235,0.06433
16.93,90.96,578.9,0.1517,0.09901,0.05602,0.2106,0.06916
18.35,77.32,432.2,0.1154,0.06636,0.03142,0.1967,0.06314
17.48,65.05,321.2,0.05907,0.05774,0.01071,0.1964,0.06315
21.56,129.7,1230.0,0.1306,0.1272,0.08691,0.2094,0.05581
32.47,128.0,1223.0,0.113,0.1145,0.06637,0.1428,0.05313
13.16,87.88,568.9,0.08711,0.03888,0.02563,0.136,0.06344
13.9,88.59,561.3,0.1192,0.0786,0.04451,0.1962,0.06303
17.53,65.12,313.1,0.08502,0.01768,0.01915,0.191,0.06908
20.25,102.6,761.3,0.1204,0.1147,0.06462,0.1935,0.06303
17.02,84.55,546.4,0.04994,0.03554,0.02456,0.1496,0.05674
13.47,92.51,641.2,0.07624,0.05724,0.04603,0.2075,0.05448
15.46,66.62,329.6,0.07722,0.006643,0.01216,0.1788,0.0645
15.51,97.45,684.5,0.1096,0.06505,0.0378,0.1881,0.05907
23.97,81.35,496.4,0.07529,0.05438,0.02036,0.1514,0.06019
22.33,85.26,503.2,0.1799,0.1695,0.06861,0.2123,0.07254
19.08,113.4,895.0,0.1572,0.191,0.109,0.2131,0.06325
27.08,71.76,395.7,0.03813,0.01633,0.003125,0.1869,0.05628
33.81,70.79,386.8,0.03574,0.004967,0.006434,0.1845,0.05828
27.81,134.4,1319.0,0.1074,0.1554,0.0834,0.1448,0.05592
15.91,60.21,279.6,0.04087,0.01652,0.01667,0.1551,0.06403
21.25,89.79,603.4,0.06945,0.01462,0.01896,0.1517,0.05835
26.97,153.5,1670.0,0.1682,0.195,0.1237,0.1909,0.06309
21.46,132.5,1306.0,0.08348,0.09042,0.06022,0.1467,0.05177
27.85,92.55,623.9,0.1039,0.1103,0.04408,0.1342,0.06129
39.28,113.4,920.6,0.1298,0.1417,0.08811,0.1809,0.05966
15.6,87.38,575.3,0.0663,0.04705,0.03731,0.1717,0.0566
15.04,78.61,476.5,0.03393,0.01053,0.01108,0.1546,0.05754
18.19,73.93,389.4,0.1325,0.1548,0.02854,0.2054,0.07669
23.77,88.54,590.0,0.06807,0.04697,0.02344,0.1773,0.05429
23.5,129.1,1155.0,0.1558,0.2049,0.08886,0.1978,0.06
19.86,66.72,337.7,0.05971,0.04831,0.0307,0.1737,0.0644
17.43,84.13,541.6,0.04524,0.04336,0.01105,0.1487,0.05635
14.11,84.95,512.2,0.1346,0.1374,0.0398,0.1596,0.06409
25.22,68.01,347.0,0.07234,0.02379,0.01615,0.1897,0.06329
14.93,73.87,406.3,0.07808,0.04328,0.02929,0.1883,0.06168
23.56,138.9,1364.0,0.1606,0.2712,0.131,0.2205,0.05898
18.45,73.28,407.4,0.05991,0.02638,0.02069,0.1834,0.05934
19.82,130.7,1206.0,0.1849,0.2417,0.0974,0.1733,0.06697
17.08,113.0,928.2,0.1041,0.1266,0.08353,0.1813,0.05613
19.33,126.5,1169.0,0.1188,0.1379,0.08591,0.1776,0.05647
17.05,91.43,602.4,0.1279,0.09789,0.05246,0.1908,0.0613
28.77,133.6,1207.0,0.2063,0.1784,0.1144,0.1893,0.06232
17.27,103.2,713.3,0.2284,0.2448,0.1242,0.2398,0.07596
23.2,110.2,773.5,0.3114,0.3176,0.1377,0.2495,0.08104
33.56,103.7,744.9,0.1639,0.1751,0.08399,0.2091,0.0665
27.06,132.9,1288.0,0.1088,0.1519,0.09333,0.1814,0.05572
23.06,111.0,933.1,0.0629,0.02891,0.02837,0.1564,0.05307
22.13,114.4,947.8,0.1273,0.09697,0.07507,0.2108,0.05464
19.38,100.0,758.6,0.05616,0.04209,0.02847,0.1547,0.05443
22.07,111.6,928.3,0.08995,0.09061,0.06527,0.1867,0.0558
31.12,135.7,1419.0,0.1143,0.1367,0.08646,0.1769,0.05674
18.95,69.28,346.4,0.1147,0.06387,0.02642,0.1922,0.06491
21.84,87.16,561.0,0.08259,0.04072,0.02142,0.1635,0.05859
16.21,82.38,512.2,0.06219,0.039,0.01615,0.201,0.05769
20.39,69.5,344.9,0.1289,0.08448,0.02867,0.1668,0.06862
16.82,90.3,632.6,0.02675,0.00725,0.00625,0.1508,0.05376
13.04,72.23,388.0,0.07608,0.03265,0.02755,0.1769,0.0627
20.99,147.3,1491.0,0.1961,0.2195,0.1088,0.1721,0.06194
15.67,61.5,289.9,0.04689,0.01103,0.01407,0.2081,0.06312
24.48,115.2,998.9,0.07027,0.05699,0.04744,0.1538,0.0551
17.36,76.2,435.6,0.0721,0.05929,0.07404,0.2015,0.05875
14.16,71.79,396.6,0.03872,0.001487,0.003333,0.1954,0.05821
19.98,120.9,1102.0,0.05884,0.0802,0.05843,0.155,0.04996
17.84,86.24,572.3,0.04052,0.01997,0.01238,0.1573,0.0552
15.18,88.99,587.4,0.07688,0.04479,0.03711,0.211,0.05853
26.6,126.2,1138.0,0.1453,0.1921,0.09664,0.1902,0.0622
14.02,74.24,427.3,0.0434,0.02245,0.02763,0.2101,0.06113
18.18,127.2,1145.0,0.1442,0.1626,0.09464,0.1893,0.05892
18.77,108.8,805.1,0.1802,0.1948,0.09052,0.1876,0.06684
15.7,84.08,516.6,0.0958,0.1115,0.0339,0.1432,0.05935
18.4,79.83,489.0,0.04216,0.00186,0.002924,0.1697,0.05855
20.76,77.87,441.0,0.1011,0.06574,0.03791,0.1588,0.06766
13.12,81.89,515.9,0.03729,0.0226,0.01171,0.1337,0.05581
19.96,73.72,394.1,0.1181,0.09274,0.05588,0.2595,0.06233
18.89,72.17,396.0,0.05008,0.02399,0.02173,0.2013,0.05955
19.73,96.03,651.0,0.1676,0.1362,0.06602,0.1714,0.07192
19.1,97.03,687.3,0.09823,0.0594,0.04819,0.1879,0.05852
16.02,83.14,513.7,0.07943,0.06155,0.0337,0.173,0.0647
17.46,75.54,432.7,0.05642,0.02688,0.0228,0.1875,0.05715
13.78,81.78,492.1,0.08393,0.01288,0.01924,0.1638,0.061
13.27,88.06,582.7,0.06221,0.01063,0.01917,0.1592,0.05912
12.35,69.14,363.7,0.04721,0.01236,0.01369,0.1449,0.06031
18.14,75.0,431.1,0.05914,0.02685,0.03515,0.1619,0.06287
18.17,91.22,633.1,0.0522,0.02475,0.01374,0.1635,0.05586
23.09,66.85,334.2,0.06797,0.02495,0.01875,0.1695,0.06556
18.9,129.5,1217.0,0.1642,0.2197,0.1062,0.1792,0.06552
19.89,80.43,471.3,0.1014,0.0683,0.03099,0.1781,0.06249
23.86,134.7,1247.0,0.1838,0.2283,0.128,0.2249,0.07469
18.61,66.86,334.3,0.06678,0.02297,0.0178,0.1482,0.066
18.16,73.59,403.1,0.07694,0.03344,0.01502,0.1411,0.06243
24.49,74.23,417.2,0.05688,0.01974,0.01313,0.1935,0.05878
15.82,84.07,537.3,0.05251,0.001461,0.003261,0.1632,0.05894
14.4,56.36,246.3,0.03116,0.003681,0.003472,0.1788,0.06833
12.71,85.69,566.2,0.03614,0.002758,0.004419,0.1365,0.05335
13.84,82.71,530.6,0.03735,0.004559,0.008829,0.1453,0.05518
19.11,74.33,418.7,0.05253,0.01583,0.01148,0.1936,0.06128
15.69,92.68,664.9,0.03515,0.01447,0.01877,0.1632,0.05255
13.37,82.29,504.1,0.07948,0.04052,0.02548,0.1601,0.0614
10.72,73.73,409.1,0.05969,0.01367,0.008907,0.1833,0.061
18.6,54.09,221.2,0.05847,0.0,0.0,0.2163,0.07359
16.85,79.19,481.6,0.03834,0.004473,0.006423,0.1215,0.05673
14.08,77.25,461.4,0.03212,0.01123,0.005051,0.1673,0.05649
18.87,118.7,1027.0,0.1117,0.113,0.0795,0.1807,0.05664
18.9,60.07,244.5,0.1972,0.1975,0.04908,0.233,0.08743
17.0,78.6,477.3,0.03454,0.01342,0.01699,0.1472,0.05561
16.18,66.52,324.2,0.1111,0.06726,0.03965,0.1743,0.07279
19.66,131.1,1274.0,0.08564,0.1155,0.07726,0.1928,0.05096
13.32,82.82,504.8,0.08834,0.038,0.034,0.1543,0.06476
21.51,135.9,1264.0,0.1875,0.2565,0.1504,0.2569,0.0667
15.21,78.01,457.9,0.06545,0.01994,0.01692,0.1638,0.06129
17.3,81.25,489.9,0.07664,0.03193,0.02107,0.1707,0.05984
12.88,90.03,616.5,0.05306,0.01765,0.02733,0.1373,0.057
17.93,76.09,446.0,0.03892,0.001546,0.005592,0.1382,0.0607
20.71,106.9,813.7,0.1319,0.1478,0.08488,0.1948,0.06277
21.88,107.5,826.8,0.1283,0.1799,0.07981,0.1869,0.06532
15.51,105.8,793.2,0.1371,0.1204,0.07041,0.1782,0.05976
19.35,84.52,514.0,0.1125,0.07107,0.0295,0.1761,0.0654
19.86,71.94,387.3,0.06779,0.005006,0.007583,0.194,0.06028
14.78,71.38,390.0,0.04458,0.000974,0.002941,0.1773,0.06081
19.02,77.88,464.4,0.04202,0.007756,0.008535,0.1539,0.05945
21.0,111.8,918.6,0.1056,0.1508,0.09934,0.1727,0.06071
14.23,84.08,514.3,0.09965,0.03738,0.02098,0.1652,0.07238
21.43,122.9,1092.0,0.1402,0.106,0.0609,0.1953,0.06083
17.53,64.41,310.8,0.07326,0.02511,0.01775,0.189,0.06331
24.27,155.1,1747.0,0.1283,0.2308,0.141,0.1797,0.05506
16.54,94.15,641.2,0.1139,0.08007,0.04223,0.1912,0.06412
16.84,61.64,280.5,0.09228,0.08422,0.02292,0.2036,0.07125
14.96,71.49,373.9,0.09097,0.05397,0.03341,0.1776,0.06907
21.68,129.9,1194.0,0.1339,0.1863,0.1103,0.2082,0.05715
15.45,75.03,420.3,0.07281,0.04006,0.0325,0.2009,0.06506
14.71,66.2,321.6,0.09159,0.03581,0.02037,0.1633,0.07005
18.9,76.66,445.3,0.05794,0.00751,0.008488,0.1555,0.06048
14.74,94.87,668.7,0.0778,0.04608,0.03528,0.1521,0.05912
16.03,73.02,402.7,0.05886,0.02587,0.02322,0.1634,0.06372
14.96,77.23,426.7,0.1206,0.01171,0.01787,0.2459,0.06581
17.07,73.7,421.0,0.0363,0.008306,0.01162,0.1671,0.05731
19.22,107.1,758.6,0.2364,0.2914,0.1242,0.2375,0.07603
17.46,174.2,2010.0,0.2363,0.3368,0.1913,0.1956,0.06121
25.74,98.0,716.6,0.09769,0.1235,0.06553,0.1647,0.06464
14.07,71.24,384.6,0.06064,0.04505,0.01471,0.169,0.06083
19.07,81.92,485.8,0.1038,0.103,0.04391,0.1533,0.06184
18.59,85.09,512.0,0.1304,0.09603,0.05603,0.2035,0.06501
16.21,88.52,593.7,0.05492,0.01502,0.02088,0.1424,0.05883
15.49,56.74,241.0,0.07698,0.04721,0.02381,0.193,0.06621
18.32,59.82,278.6,0.05956,0.0271,0.01406,0.1506,0.06959
18.07,79.42,491.9,0.0265,0.001194,0.005449,0.1528,0.05185
21.57,85.24,546.1,0.06373,0.03344,0.02424,0.1815,0.05696
18.84,81.87,496.6,0.07952,0.02688,0.01781,0.1759,0.06183
18.29,106.6,838.1,0.08468,0.05862,0.04835,0.1495,0.05593
16.95,85.48,552.4,0.05696,0.02181,0.01473,0.165,0.05701
21.78,133.8,1293.0,0.1131,0.09799,0.07785,0.1618,0.05557
26.83,133.7,1234.0,0.1669,0.1641,0.1265,0.1875,0.0602
18.02,78.31,458.4,0.07175,0.04392,0.02027,0.1695,0.05916
17.25,140.9,1546.0,0.08562,0.1168,0.08465,0.1717,0.05054
21.9,147.2,1482.0,0.1954,0.2448,0.1501,0.1824,0.0614
23.29,109.0,840.4,0.1497,0.1811,0.08773,0.2175,0.06218
13.21,97.65,711.8,0.06934,0.03393,0.02657,0.1721,0.05544
15.1,141.3,1386.0,0.1515,0.1932,0.1255,0.1973,0.06183
17.35,134.8,1335.0,0.1076,0.1527,0.08941,0.1571,0.05478
16.07,87.84,579.1,0.06374,0.02556,0.02031,0.1872,0.05669
16.07,106.3,788.5,0.1438,0.06651,0.05397,0.199,0.06572
